0.199866	0.671592	-4.964948	0
0.908455	0.125248	-3.884318	0
0.114292	0.403859	-3.139396	0
-0.947111	0.268563	4.947691	1
-0.096726	0.109383	-0.134699	1
0.736412	0.451372	-4.323573	0
0.043275	0.570373	-3.923799	0
0.192694	0.403859	-2.702958	0
0.555703	0.190230	-3.086341	0
0.292322	0.608305	-3.128536	0
0.374374	0.104789	-1.939044	0
0.259229	0.608305	-2.946524	0
-1.197528	0.182860	6.961061	1
0.555703	0.153411	-2.233020	0
0.606769	0.233315	-2.800157	0
0.105775	0.021305	-0.498047	0
0.304369	0.095358	-1.285393	0
-0.104464	0.117040	-0.303253	1
0.968810	0.335673	-4.268227	0
0.073141	0.012011	-0.328057	0
-0.120584	0.117040	-0.214590	1
0.104568	0.088199	-0.746516	0
0.459456	0.776635	-6.426496	0
0.714438	0.708310	-5.681802	0
0.239495	0.340286	-2.167937	0
0.434274	0.104789	-1.662025	0
0.908455	0.125248	-2.913238	0
0.749334	0.399108	-4.068428	0
0.054430	0.475128	-3.333266	0
0.339094	0.608305	-3.385780	0
-0.111776	0.117040	-0.263034	1
0.434274	0.104789	-2.148693	0
0.836482	0.546397	-5.096389	0
0.105775	0.021305	-0.381619	0
-1.197528	0.182860	6.869631	1
0.550118	0.708310	-5.979310	0
-0.104464	0.117040	-0.133980	1
0.714438	0.708310	-6.390112	0
-0.111776	0.117040	-0.090106	1
0.043275	0.570373	-3.703525	0
0.490219	0.704164	-5.802612	0
0.011933	0.871222	-5.716637	0
0.155583	0.776635	-5.826045	0
0.073653	0.088199	-0.669229	0
0.714438	0.779141	-6.850514	0
0.309862	0.043494	-2.141880	0
0.459456	0.776635	-6.196768	0
0.441145	0.503585	-4.376164	0
0.055976	0.075728	-0.556445	0
-0.947111	0.268563	3.194891	1
